Cabinet door styles,Cabinet material and finish styles,Color Palette,Cabinet Hardware and metals,Countertops and backsplash,prompt,style,id
Textured glass,,,,,"A wide-angle shot of a nice, updated kitchen with Japandi interior design style. The Cabinet door should be Textured glass, but don't make it the focus of the image.",Japandi,0
,Maple with stain,,Wood knob,Bamboo,"A wide-angle shot of a nice, updated kitchen with Japandi interior design style. The Cabinet material and finish should be Maple with stain, but don't make it the focus of the image. The Cabinet Hardware should include Wood knob, but don't make it the focus of the image. The Countertops and backsplash should include Bamboo, but don't make it the focus of the image.",Japandi,1
,,,Brushed satin nickel bin-style pull,Soapstone,"A wide-angle shot of a nice, updated kitchen with Japandi interior design style. The Cabinet Hardware should include Brushed satin nickel bin-style pull, but don't make it the focus of the image. The Countertops and backsplash should include Soapstone, but don't make it the focus of the image.",Japandi,2
Shaker door,Maple with stain,,,,"A wide-angle shot of a nice, updated kitchen with Japandi interior design style. The Cabinet door should be Shaker, but don't make it the focus of the image. The Cabinet material and finish should be Maple with stain, but don't make it the focus of the image.",Japandi,3
,,,,Butcher block,"A wide-angle shot of a nice, updated kitchen with Japandi interior design style. The Countertops and backsplash should include Butcher block, but don't make it the focus of the image.",Japandi,4
,,Warm cream,Brushed satin nickel straight-bar pull,,"A wide-angle shot of a nice, updated kitchen with Pacific Northwest interior design style. The Color Palette should include Warm cream. The Cabinet Hardware should include Brushed satin nickel straight-bar pull, but don't make it the focus of the image.",Pacific Northwest,5
Textured glass,,Ocean blue,Wood knob or pull,,"A wide-angle shot of a nice, updated kitchen with Pacific Northwest interior design style. The Cabinet door should be Textured glass, but don't make it the focus of the image. The Color Palette should include Ocean blue. The Cabinet Hardware should include Wood knob or pull, but don't make it the focus of the image.",Pacific Northwest,6
,Maple with paint finish,Ocean blue,,,"A wide-angle shot of a nice, updated kitchen with Pacific Northwest interior design style. The Cabinet material and finish should be Maple with paint finish, but don't make it the focus of the image. The Color Palette should include Ocean blue.",Pacific Northwest,7
,,Deep forest green,Antique copper decorative knob,,"A wide-angle shot of a nice, updated kitchen with Pacific Northwest interior design style. The Color Palette should include Deep forest green. The Cabinet Hardware should include Antique copper decorative knob, but don't make it the focus of the image.",Pacific Northwest,8
,Walnut with glaze finish,Slate stone,Brushed satin nickel straight-bar pull,Soapstone,"A wide-angle shot of a nice, updated kitchen with Pacific Northwest interior design style. The Cabinet material and finish should be Walnut with glaze finish, but don't make it the focus of the image. The Color Palette should include Slate stone. The Cabinet Hardware should include Brushed satin nickel straight-bar pull, but don't make it the focus of the image. The Countertops and backsplash should include Soapstone, but don't make it the focus of the image.",Pacific Northwest,9
Inset panel door - non-beaded,,,Matte black straight-bar pull,Quartz,"A wide-angle shot of a nice, updated kitchen with Contemporary interior design style. The Cabinet door should be Inset panel - non-beaded, but don't make it the focus of the image. The Cabinet Hardware should include Matte black straight-bar pull, but don't make it the focus of the image. The Countertops and backsplash should include Quartz, but don't make it the focus of the image.",Contemporary,10
,,,Brushed satin nickel with straight-bar pull,,"A wide-angle shot of a nice, updated kitchen with Contemporary interior design style. The Cabinet Hardware should include Brushed satin nickel with straight-bar pull, but don't make it the focus of the image.",Contemporary,11
